time,data,src
34594337844.87423,name=recover|state=running|updates=0/0,pHelmIvP:1:recover
34594337844.87423,name=recover|state=running|updates=0/0,pHelmIvP:1:recover
34594337847.779625,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:16:waypt_survey
34594337856.9287,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:63:waypt_survey
34594337857.08931,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:64:waypt_survey
34594337864.08204,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:100:waypt_survey
34594337864.68622,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:103:waypt_survey
34594337886.160576,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:211:waypt_survey
34594337888.53696,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:223:waypt_survey
34594337903.36114,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:298:waypt_survey
34594337904.3424,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:303:waypt_survey
34594337904.3424,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:303:waypt_survey
34594337912.13049,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:341:waypt_survey
34594337912.33522,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:342:waypt_survey
34594337934.519356,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:455:waypt_survey
34594337934.73626,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:456:waypt_survey
34594337936.92009,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:467:waypt_survey
34594337937.3174,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:469:waypt_survey
34594337942.97496,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:498:waypt_survey
34594337943.59244,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:501:waypt_survey
34594337962.91523,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:600:waypt_survey
34594337963.11948,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:601:waypt_survey
34594337971.0376,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:641:waypt_survey
34594337971.43898,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:643:waypt_survey
34594337971.43898,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:643:waypt_survey
34594338003.47034,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:805:waypt_survey
34594338003.876785,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:807:waypt_survey
34594338026.9324,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:924:waypt_survey
34594338027.13889,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:925:waypt_survey
34594338034.45386,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:962:waypt_survey
34594338035.260605,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:966:waypt_survey
34594338043.60101,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:1008:waypt_survey
34594338044.598625,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1013:waypt_survey
34594338065.700745,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:1121:waypt_survey
34594338065.90674,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1122:waypt_survey
34594338068.41962,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:1135:waypt_survey
34594338068.6438,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1136:waypt_survey
34594338074.555824,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:1166:waypt_survey
34594338075.35976,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1170:waypt_survey
34594338093.91441,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:1265:waypt_survey
34594338094.12192,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1266:waypt_survey
34594338101.9902,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:1306:waypt_survey
34594338102.76125,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1310:waypt_survey
34594338126.85793,name=waypt_survey|pwt=100.00000|pcs=24|state=active|updates=0/0,pHelmIvP:1433:waypt_survey
34594338127.06321,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1434:waypt_survey
34594338134.31058,name=waypt_survey|pwt=100.00000|pcs=20|state=active|updates=0/0,pHelmIvP:1471:waypt_survey
34594338135.29346,name=waypt_survey|pwt=100.00000|pcs=28|state=active|updates=0/0,pHelmIvP:1476:waypt_survey
