time,data,src
34594337762.932236,NA,pContactMgrV20
34594337764.08099,NA,pContactMgrV20
34594337764.08099,NA,pContactMgrV20
34594337765.27678,NA,pContactMgrV20
34594337765.27678,NA,pContactMgrV20
34594337766.44463,NA,pContactMgrV20
34594337766.44463,NA,pContactMgrV20
34594337767.5946,NA,pContactMgrV20
34594337767.5946,NA,pContactMgrV20
34594337768.71381,NA,pContactMgrV20
34594337769.86346,NA,pContactMgrV20
34594337771.02208,NA,pContactMgrV20
34594337772.14348,NA,pContactMgrV20
34594337773.322876,NA,pContactMgrV20
34594337774.49264,NA,pContactMgrV20
34594337775.59766,NA,pContactMgrV20
34594337776.72266,NA,pContactMgrV20
34594337777.80885,NA,pContactMgrV20
34594337778.92191,NA,pContactMgrV20
34594337780.11902,NA,pContactMgrV20
34594337781.23045,NA,pContactMgrV20
34594337782.3261,NA,pContactMgrV20
34594337783.45132,NA,pContactMgrV20
34594337784.5107,NA,pContactMgrV20
34594337785.6265,NA,pContactMgrV20
34594337786.742004,NA,pContactMgrV20
34594337787.83188,NA,pContactMgrV20
34594337789.007576,NA,pContactMgrV20
34594337790.18908,NA,pContactMgrV20
34594337791.3671,NA,pContactMgrV20
34594337792.48262,NA,pContactMgrV20
34594337793.57565,NA,pContactMgrV20
34594337794.777916,NA,pContactMgrV20
34594337795.90115,NA,pContactMgrV20
34594337797.09319,NA,pContactMgrV20
34594337798.27023,NA,pContactMgrV20
34594337799.470184,NA,pContactMgrV20
34594337800.59475,NA,pContactMgrV20
34594337801.74942,NA,pContactMgrV20
34594337802.89758,NA,pContactMgrV20
34594337804.07098,NA,pContactMgrV20
34594337805.2185,NA,pContactMgrV20
34594337806.36182,NA,pContactMgrV20
34594337807.53793,NA,pContactMgrV20
34594337808.641136,NA,pContactMgrV20
34594337809.76183,NA,pContactMgrV20
34594337810.96502,NA,pContactMgrV20
34594337812.141716,NA,pContactMgrV20
34594337813.33664,NA,pContactMgrV20
34594337814.42592,NA,pContactMgrV20
34594337815.6041,NA,pContactMgrV20
34594337816.75394,NA,pContactMgrV20
34594337817.84082,NA,pContactMgrV20
34594337819.00404,NA,pContactMgrV20
34594337820.13686,NA,pContactMgrV20
34594337821.27615,NA,pContactMgrV20
34594337822.44598,NA,pContactMgrV20
34594337823.62579,NA,pContactMgrV20
34594337824.77154,NA,pContactMgrV20
34594337825.8519,NA,pContactMgrV20
34594337827.02538,NA,pContactMgrV20
34594337828.19526,NA,pContactMgrV20
34594337829.32426,NA,pContactMgrV20
34594337830.49369,NA,pContactMgrV20
34594337831.67796,NA,pContactMgrV20
34594337832.743004,NA,pContactMgrV20
34594337833.88836,NA,pContactMgrV20
