time,data,src
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337755.75342,0.00000,pHelmIvP
34594337844.8754,1.20000,pHelmIvP
34594337844.8754,1.20000,pHelmIvP
34594337845.05096,1.20000,pHelmIvP
34594337845.23096,1.20000,pHelmIvP
34594337845.42572,1.20000,pHelmIvP
34594337845.60142,1.20000,pHelmIvP
34594337845.80798,1.20000,pHelmIvP
34594337845.99091,1.20000,pHelmIvP
34594337845.99091,1.20000,pHelmIvP
34594337846.20048,1.20000,pHelmIvP
34594337846.39896,1.20000,pHelmIvP
34594337846.60645,1.20000,pHelmIvP
34594337846.791824,1.20000,pHelmIvP
34594337846.97348,1.20000,pHelmIvP
34594337847.169014,1.20000,pHelmIvP
34594337847.369774,1.20000,pHelmIvP
34594337847.5741,1.20000,pHelmIvP
34594337847.78051,1.20000,pHelmIvP
34594337847.94812,1.20000,pHelmIvP
34594337848.12489,1.20000,pHelmIvP
34594337848.292145,1.20000,pHelmIvP
34594337848.4751,1.20000,pHelmIvP
34594337848.68369,1.20000,pHelmIvP
34594337848.89238,1.20000,pHelmIvP
34594337849.08204,1.20000,pHelmIvP
34594337849.277054,1.20000,pHelmIvP
34594337849.48439,1.20000,pHelmIvP
34594337849.673904,1.20000,pHelmIvP
34594337849.85746,1.20000,pHelmIvP
34594337850.030914,1.20000,pHelmIvP
34594337850.236374,1.20000,pHelmIvP
34594337850.44234,1.20000,pHelmIvP
34594337850.650925,1.20000,pHelmIvP
34594337850.858795,1.20000,pHelmIvP
34594337851.06492,1.20000,pHelmIvP
34594337851.2688,1.20000,pHelmIvP
34594337851.47284,1.20000,pHelmIvP
34594337851.65574,1.20000,pHelmIvP
34594337851.863815,1.20000,pHelmIvP
34594337852.03608,1.20000,pHelmIvP
34594337852.24078,1.20000,pHelmIvP
34594337852.41811,1.20000,pHelmIvP
34594337852.62532,1.20000,pHelmIvP
34594337852.819214,1.20000,pHelmIvP
34594337853.02858,1.20000,pHelmIvP
34594337853.20501,1.20000,pHelmIvP
34594337853.4097,1.20000,pHelmIvP
34594337853.593376,1.20000,pHelmIvP
34594337853.79969,1.20000,pHelmIvP
34594337853.99836,1.20000,pHelmIvP
34594337854.20366,1.20000,pHelmIvP
34594337854.4051,1.20000,pHelmIvP
34594337854.58394,1.20000,pHelmIvP
34594337854.78817,1.20000,pHelmIvP
34594337854.99339,1.20000,pHelmIvP
34594337855.188156,1.20000,pHelmIvP
34594337855.39264,1.20000,pHelmIvP
34594337855.57354,1.20000,pHelmIvP
34594337855.78833,1.20000,pHelmIvP
34594337855.96162,1.20000,pHelmIvP
34594337856.156906,1.20000,pHelmIvP
34594337856.3685,1.20000,pHelmIvP
34594337856.56456,1.20000,pHelmIvP
34594337856.74408,1.20000,pHelmIvP
34594337856.93162,1.20000,pHelmIvP
34594337857.09087,1.20000,pHelmIvP
34594337857.26725,1.20000,pHelmIvP
34594337857.441475,1.20000,pHelmIvP
34594337857.62043,1.20000,pHelmIvP
34594337857.81733,1.20000,pHelmIvP
34594337858.01918,1.20000,pHelmIvP
34594337858.20026,1.20000,pHelmIvP
34594337858.404526,1.20000,pHelmIvP
34594337858.610855,1.20000,pHelmIvP
34594337858.8177,1.20000,pHelmIvP
34594337858.99306,1.20000,pHelmIvP
34594337859.20032,1.20000,pHelmIvP
34594337859.39571,1.20000,pHelmIvP
34594337859.5961,1.20000,pHelmIvP
34594337859.80069,1.20000,pHelmIvP
34594337859.997604,1.20000,pHelmIvP
34594337860.17412,1.20000,pHelmIvP
34594337860.37938,1.20000,pHelmIvP
34594337860.55118,1.20000,pHelmIvP
34594337860.75724,1.20000,pHelmIvP
34594337860.96402,1.20000,pHelmIvP
34594337861.17096,1.20000,pHelmIvP
34594337861.354126,1.20000,pHelmIvP
