time,data,src
34594337748.988815,0.00000,pMarinePID
34594337749.10268,0.00000,pMarinePID
34594337749.229576,0.00000,pMarinePID
34594337749.33564,0.00000,pMarinePID
34594337749.440674,0.00000,pMarinePID
34594337749.556076,0.00000,pMarinePID
34594337749.68145,0.00000,pMarinePID
34594337749.80711,0.00000,pMarinePID
34594337749.93253,0.00000,pMarinePID
34594337750.05851,0.00000,pMarinePID
34594337750.18394,0.00000,pMarinePID
34594337750.18394,0.00000,pMarinePID
34594337750.30212,0.00000,pMarinePID
34594337750.40464,0.00000,pMarinePID
34594337750.51104,0.00000,pMarinePID
34594337750.6364,0.00000,pMarinePID
34594337750.76194,0.00000,pMarinePID
34594337750.88718,0.00000,pMarinePID
34594337750.99044,0.00000,pMarinePID
34594337751.11575,0.00000,pMarinePID
34594337751.24106,0.00000,pMarinePID
34594337751.36146,0.00000,pMarinePID
34594337751.36146,0.00000,pMarinePID
34594337751.48678,0.00000,pMarinePID
34594337751.61237,0.00000,pMarinePID
34594337751.7379,0.00000,pMarinePID
34594337751.86324,0.00000,pMarinePID
34594337751.989105,0.00000,pMarinePID
34594337752.114685,0.00000,pMarinePID
34594337752.23996,0.00000,pMarinePID
34594337752.36604,0.00000,pMarinePID
34594337752.491425,0.00000,pMarinePID
34594337752.491425,0.00000,pMarinePID
34594337752.61674,0.00000,pMarinePID
34594337752.74046,0.00000,pMarinePID
34594337752.86631,0.00000,pMarinePID
34594337752.98544,0.00000,pMarinePID
34594337753.11094,0.00000,pMarinePID
34594337753.23647,0.00000,pMarinePID
34594337753.33725,0.00000,pMarinePID
34594337753.44192,0.00000,pMarinePID
34594337753.567665,0.00000,pMarinePID
34594337753.685295,0.00000,pMarinePID
34594337753.685295,0.00000,pMarinePID
34594337753.788315,0.00000,pMarinePID
34594337753.91418,0.00000,pMarinePID
34594337754.03965,0.00000,pMarinePID
34594337754.16492,0.00000,pMarinePID
34594337754.29028,0.00000,pMarinePID
34594337754.415825,0.00000,pMarinePID
34594337754.541405,0.00000,pMarinePID
34594337754.64602,0.00000,pMarinePID
34594337754.77187,0.00000,pMarinePID
34594337754.88562,0.00000,pMarinePID
34594337754.88562,0.00000,pMarinePID
34594337754.99798,0.00000,pMarinePID
34594337755.10482,0.00000,pMarinePID
34594337755.23086,0.00000,pMarinePID
34594337755.3565,0.00000,pMarinePID
34594337755.45768,0.00000,pMarinePID
34594337755.5822,0.00000,pMarinePID
34594337755.68512,0.00000,pMarinePID
34594337755.81076,0.00000,pMarinePID
34594337755.93232,0.00000,pMarinePID
34594337756.05806,0.00000,pMarinePID
34594337756.05806,0.00000,pMarinePID
34594337756.16552,0.00000,pMarinePID
34594337756.26957,0.00000,pMarinePID
34594337756.39516,0.00000,pMarinePID
34594337756.51976,0.00000,pMarinePID
34594337756.645195,0.00000,pMarinePID
34594337756.75368,0.00000,pMarinePID
34594337756.87922,0.00000,pMarinePID
34594337756.98986,0.00000,pMarinePID
34594337757.11532,0.00000,pMarinePID
34594337757.24075,0.00000,pMarinePID
