time,data,src
34594337766.95324,42.35837,uSimMarineV22
34594337767.18822,42.35837,uSimMarineV22
34594337767.18822,42.35837,uSimMarineV22
34594337767.42068,42.35837,uSimMarineV22
34594337767.671295,42.35837,uSimMarineV22
34594337767.8983,42.35837,uSimMarineV22
34594337768.14934,42.35837,uSimMarineV22
34594337768.14934,42.35837,uSimMarineV22
34594337768.3821,42.35837,uSimMarineV22
34594337768.63306,42.35837,uSimMarineV22
34594337768.88493,42.35837,uSimMarineV22
34594337769.11522,42.35837,uSimMarineV22
34594337769.356964,42.35837,uSimMarineV22
34594337769.594025,42.35837,uSimMarineV22
34594337769.83018,42.35837,uSimMarineV22
34594337770.0592,42.35837,uSimMarineV22
34594337770.30201,42.35837,uSimMarineV22
34594337770.5528,42.35837,uSimMarineV22
34594337770.7864,42.35837,uSimMarineV22
34594337771.03764,42.35837,uSimMarineV22
34594337771.26994,42.35837,uSimMarineV22
34594337771.50898,42.35837,uSimMarineV22
34594337771.73515,42.35837,uSimMarineV22
34594337771.96412,42.35837,uSimMarineV22
34594337772.2129,42.35837,uSimMarineV22
34594337772.46162,42.35837,uSimMarineV22
34594337772.71158,42.35837,uSimMarineV22
34594337772.96051,42.35837,uSimMarineV22
34594337773.17619,42.35837,uSimMarineV22
34594337773.41592,42.35837,uSimMarineV22
34594337773.65964,42.35837,uSimMarineV22
34594337773.890564,42.35837,uSimMarineV22
34594337774.141174,42.35837,uSimMarineV22
34594337774.39174,42.35837,uSimMarineV22
34594337774.633896,42.35837,uSimMarineV22
34594337774.88485,42.35837,uSimMarineV22
34594337775.13583,42.35837,uSimMarineV22
34594337775.359024,42.35837,uSimMarineV22
34594337775.60434,42.35837,uSimMarineV22
34594337775.841324,42.35837,uSimMarineV22
34594337776.09203,42.35837,uSimMarineV22
34594337776.32666,42.35837,uSimMarineV22
34594337776.55349,42.35837,uSimMarineV22
34594337776.78714,42.35837,uSimMarineV22
34594337777.0214,42.35837,uSimMarineV22
34594337777.27214,42.35837,uSimMarineV22
34594337777.522804,42.35837,uSimMarineV22
34594337777.7744,42.35837,uSimMarineV22
34594337778.02464,42.35837,uSimMarineV22
34594337778.27556,42.35837,uSimMarineV22
34594337778.520424,42.35837,uSimMarineV22
34594337778.77179,42.35837,uSimMarineV22
34594337779.0235,42.35837,uSimMarineV22
34594337779.274254,42.35837,uSimMarineV22
34594337779.52525,42.35837,uSimMarineV22
34594337779.77626,42.35837,uSimMarineV22
34594337780.00679,42.35837,uSimMarineV22
34594337780.22036,42.35837,uSimMarineV22
34594337780.47147,42.35837,uSimMarineV22
34594337780.71232,42.35837,uSimMarineV22
34594337780.94886,42.35837,uSimMarineV22
34594337781.19968,42.35837,uSimMarineV22
34594337781.42989,42.35837,uSimMarineV22
34594337781.68121,42.35837,uSimMarineV22
34594337781.93226,42.35837,uSimMarineV22
34594337782.15849,42.35837,uSimMarineV22
34594337782.40976,42.35837,uSimMarineV22
34594337782.66118,42.35837,uSimMarineV22
34594337782.91201,42.35837,uSimMarineV22
34594337783.16346,42.35837,uSimMarineV22
34594337783.414276,42.35837,uSimMarineV22
34594337783.63004,42.35837,uSimMarineV22
34594337783.880936,42.35837,uSimMarineV22
34594337784.131996,42.35837,uSimMarineV22
34594337784.383705,42.35837,uSimMarineV22
34594337784.63524,42.35837,uSimMarineV22
34594337784.88575,42.35837,uSimMarineV22
34594337785.13649,42.35837,uSimMarineV22
34594337785.38794,42.35837,uSimMarineV22
34594337785.61927,42.35837,uSimMarineV22
34594337785.86726,42.35837,uSimMarineV22
34594337786.106735,42.35837,uSimMarineV22
34594337786.35817,42.35837,uSimMarineV22
34594337786.60936,42.35837,uSimMarineV22
34594337786.86047,42.35837,uSimMarineV22
34594337787.11188,42.35837,uSimMarineV22
34594337787.36198,42.35837,uSimMarineV22
34594337787.5929,42.35837,uSimMarineV22
34594337787.831154,42.35837,uSimMarineV22
34594337788.058784,42.35837,uSimMarineV22
34594337788.31015,42.35837,uSimMarineV22
34594337788.5542,42.35837,uSimMarineV22
34594337788.805664,42.35837,uSimMarineV22
34594337789.044044,42.35837,uSimMarineV22
34594337789.2841,42.35837,uSimMarineV22
34594337789.53571,42.35837,uSimMarineV22
34594337789.78618,42.35837,uSimMarineV22
34594337790.03706,42.35837,uSimMarineV22
34594337790.2708,42.35837,uSimMarineV22
34594337790.51479,42.35837,uSimMarineV22
34594337790.76471,42.35837,uSimMarineV22
34594337791.01255,42.35837,uSimMarineV22
34594337791.26342,42.35837,uSimMarineV22
34594337791.51463,42.35837,uSimMarineV22
34594337791.7653,42.35837,uSimMarineV22
34594337792.01606,42.35837,uSimMarineV22
34594337792.256256,42.35837,uSimMarineV22
34594337792.48186,42.35837,uSimMarineV22
34594337792.7167,42.35837,uSimMarineV22
34594337792.95112,42.35837,uSimMarineV22
34594337793.20092,42.35837,uSimMarineV22
34594337793.45102,42.35837,uSimMarineV22
34594337793.7025,42.35837,uSimMarineV22
34594337793.954056,42.35837,uSimMarineV22
34594337794.20488,42.35837,uSimMarineV22
34594337794.455215,42.35837,uSimMarineV22
34594337794.69875,42.35837,uSimMarineV22
34594337794.93114,42.35837,uSimMarineV22
34594337795.174225,42.35837,uSimMarineV22
34594337795.42479,42.35837,uSimMarineV22
34594337795.65667,42.35837,uSimMarineV22
34594337795.90288,42.35837,uSimMarineV22
34594337796.15468,42.35837,uSimMarineV22
34594337796.39554,42.35837,uSimMarineV22
34594337796.64803,42.35837,uSimMarineV22
34594337796.95022,42.35837,uSimMarineV22
34594337797.32095,42.35837,uSimMarineV22
34594337797.57151,42.35837,uSimMarineV22
34594337797.82317,42.35837,uSimMarineV22
34594337798.11779,42.35837,uSimMarineV22
34594337798.3695,42.35837,uSimMarineV22
34594337798.59688,42.35837,uSimMarineV22
34594337798.83714,42.35837,uSimMarineV22
34594337799.08891,42.35837,uSimMarineV22
34594337799.338844,42.35837,uSimMarineV22
34594337799.589905,42.35837,uSimMarineV22
34594337799.84071,42.35837,uSimMarineV22
34594337800.09187,42.35837,uSimMarineV22
34594337800.343544,42.35837,uSimMarineV22
34594337800.59514,42.35837,uSimMarineV22
34594337800.84624,42.35837,uSimMarineV22
34594337801.09266,42.35837,uSimMarineV22
34594337801.343834,42.35837,uSimMarineV22
34594337801.59524,42.35837,uSimMarineV22
34594337801.82464,42.35837,uSimMarineV22
34594337802.0757,42.35837,uSimMarineV22
34594337802.3267,42.35837,uSimMarineV22
34594337802.5731,42.35837,uSimMarineV22
34594337802.81908,42.35837,uSimMarineV22
34594337803.07062,42.35837,uSimMarineV22
34594337803.30777,42.35837,uSimMarineV22
34594337803.55967,42.35837,uSimMarineV22
34594337803.81942,42.35837,uSimMarineV22
34594337804.067505,42.35837,uSimMarineV22
34594337804.32362,42.35837,uSimMarineV22
34594337804.67464,42.35837,uSimMarineV22
34594337804.9107,42.35837,uSimMarineV22
34594337805.14908,42.35837,uSimMarineV22
34594337805.37758,42.35837,uSimMarineV22
34594337805.629,42.35837,uSimMarineV22
34594337805.87698,42.35837,uSimMarineV22
34594337806.1131,42.35837,uSimMarineV22
34594337806.3595,42.35837,uSimMarineV22
34594337806.611664,42.35837,uSimMarineV22
34594337806.85616,42.35837,uSimMarineV22
34594337807.10791,42.35837,uSimMarineV22
34594337807.33741,42.35837,uSimMarineV22
34594337807.58963,42.35837,uSimMarineV22
34594337807.80082,42.35837,uSimMarineV22
34594337808.04504,42.35837,uSimMarineV22
34594337808.29506,42.35837,uSimMarineV22
34594337808.546074,42.35837,uSimMarineV22
34594337808.79066,42.35837,uSimMarineV22
34594337809.0421,42.35837,uSimMarineV22
34594337809.29335,42.35837,uSimMarineV22
34594337809.54438,42.35837,uSimMarineV22
34594337809.77916,42.35837,uSimMarineV22
34594337810.03048,42.35837,uSimMarineV22
34594337810.280365,42.35837,uSimMarineV22
34594337810.53141,42.35837,uSimMarineV22
34594337810.75523,42.35837,uSimMarineV22
34594337810.99355,42.35837,uSimMarineV22
34594337811.223114,42.35837,uSimMarineV22
34594337811.47448,42.35837,uSimMarineV22
34594337811.71539,42.35837,uSimMarineV22
34594337811.966034,42.35837,uSimMarineV22
34594337812.21481,42.35837,uSimMarineV22
34594337812.44867,42.35837,uSimMarineV22
34594337812.70028,42.35837,uSimMarineV22
34594337812.952034,42.35837,uSimMarineV22
34594337813.171936,42.35837,uSimMarineV22
34594337813.43132,42.35837,uSimMarineV22
34594337813.68491,42.35837,uSimMarineV22
34594337813.961685,42.35837,uSimMarineV22
34594337814.188736,42.35837,uSimMarineV22
34594337814.439156,42.35837,uSimMarineV22
34594337814.66185,42.35837,uSimMarineV22
34594337814.9002,42.35837,uSimMarineV22
34594337815.121254,42.35837,uSimMarineV22
34594337815.3762,42.35837,uSimMarineV22
34594337815.611,42.35837,uSimMarineV22
34594337815.83714,42.35837,uSimMarineV22
34594337816.07861,42.35837,uSimMarineV22
34594337816.33149,42.35837,uSimMarineV22
34594337816.57832,42.35837,uSimMarineV22
34594337816.83022,42.35837,uSimMarineV22
34594337817.08231,42.35837,uSimMarineV22
34594337817.32522,42.35837,uSimMarineV22
34594337817.556694,42.35837,uSimMarineV22
34594337817.7765,42.35837,uSimMarineV22
34594337818.02794,42.35837,uSimMarineV22
34594337818.27998,42.35837,uSimMarineV22
34594337818.53199,42.35837,uSimMarineV22
34594337818.782776,42.35837,uSimMarineV22
34594337819.03386,42.35837,uSimMarineV22
34594337819.27052,42.35837,uSimMarineV22
34594337819.50375,42.35837,uSimMarineV22
34594337819.744156,42.35837,uSimMarineV22
34594337819.9516,42.35837,uSimMarineV22
34594337820.20238,42.35837,uSimMarineV22
34594337820.4536,42.35837,uSimMarineV22
34594337820.70456,42.35837,uSimMarineV22
34594337820.92698,42.35837,uSimMarineV22
34594337821.17762,42.35837,uSimMarineV22
34594337821.41906,42.35837,uSimMarineV22
34594337821.66983,42.35837,uSimMarineV22
34594337821.92074,42.35837,uSimMarineV22
34594337822.17148,42.35837,uSimMarineV22
34594337822.40934,42.35837,uSimMarineV22
34594337822.648254,42.35837,uSimMarineV22
34594337822.89909,42.35837,uSimMarineV22
34594337823.150185,42.35837,uSimMarineV22
34594337823.367096,42.35837,uSimMarineV22
34594337823.6177,42.35837,uSimMarineV22
34594337823.86779,42.35837,uSimMarineV22
34594337824.09742,42.35837,uSimMarineV22
34594337824.34845,42.35837,uSimMarineV22
34594337824.59507,42.35837,uSimMarineV22
34594337824.84588,42.35837,uSimMarineV22
34594337825.096725,42.35837,uSimMarineV22
34594337825.348114,42.35837,uSimMarineV22
34594337825.57876,42.35837,uSimMarineV22
34594337825.82422,42.35837,uSimMarineV22
34594337826.07512,42.35837,uSimMarineV22
34594337826.32671,42.35837,uSimMarineV22
34594337826.577255,42.35837,uSimMarineV22
34594337826.82819,42.35837,uSimMarineV22
34594337827.07888,42.35837,uSimMarineV22
34594337827.31524,42.35837,uSimMarineV22
34594337827.56644,42.35837,uSimMarineV22
34594337827.805084,42.35837,uSimMarineV22
34594337828.045,42.35837,uSimMarineV22
34594337828.28431,42.35837,uSimMarineV22
34594337828.51973,42.35837,uSimMarineV22
34594337828.77158,42.35837,uSimMarineV22
34594337829.021576,42.35837,uSimMarineV22
34594337829.250305,42.35837,uSimMarineV22
34594337829.50148,42.35837,uSimMarineV22
34594337829.75277,42.35837,uSimMarineV22
34594337830.00433,42.35837,uSimMarineV22
34594337830.23954,42.35837,uSimMarineV22
34594337830.48679,42.35837,uSimMarineV22
34594337830.72066,42.35837,uSimMarineV22
34594337830.9694,42.35837,uSimMarineV22
34594337831.20168,42.35837,uSimMarineV22
34594337831.45296,42.35837,uSimMarineV22
34594337831.679924,42.35837,uSimMarineV22
34594337831.930176,42.35837,uSimMarineV22
34594337832.18193,42.35837,uSimMarineV22
34594337832.425934,42.35837,uSimMarineV22
34594337832.67693,42.35837,uSimMarineV22
34594337832.919556,42.35837,uSimMarineV22
34594337833.14542,42.35837,uSimMarineV22
34594337833.372375,42.35837,uSimMarineV22
34594337833.61848,42.35837,uSimMarineV22
34594337833.86934,42.35837,uSimMarineV22
34594337834.12043,42.35837,uSimMarineV22
34594337834.368835,42.35837,uSimMarineV22
34594337834.62043,42.35837,uSimMarineV22
34594337834.84832,42.35837,uSimMarineV22
34594337835.07654,42.35837,uSimMarineV22
34594337835.31123,42.35837,uSimMarineV22
34594337835.55542,42.35837,uSimMarineV22
34594337835.80688,42.35837,uSimMarineV22
34594337836.04474,42.35837,uSimMarineV22
34594337836.27763,42.35837,uSimMarineV22
34594337836.52874,42.35837,uSimMarineV22
34594337836.76156,42.35837,uSimMarineV22
34594337836.993225,42.35837,uSimMarineV22
34594337837.21328,42.35837,uSimMarineV22
34594337837.46421,42.35837,uSimMarineV22
34594337837.6888,42.35837,uSimMarineV22
34594337837.93258,42.35837,uSimMarineV22
34594337838.17617,42.35837,uSimMarineV22
34594337838.4272,42.35837,uSimMarineV22
34594337838.67168,42.35837,uSimMarineV22
34594337838.909874,42.35837,uSimMarineV22
34594337839.15908,42.35837,uSimMarineV22
34594337839.40906,42.35837,uSimMarineV22
34594337839.65986,42.35837,uSimMarineV22
34594337839.91129,42.35837,uSimMarineV22
34594337840.16292,42.35837,uSimMarineV22
34594337840.4142,42.35837,uSimMarineV22
34594337840.66002,42.35837,uSimMarineV22
34594337840.91219,42.35837,uSimMarineV22
34594337841.13623,42.35837,uSimMarineV22
34594337841.363556,42.35837,uSimMarineV22
34594337841.60268,42.35837,uSimMarineV22
34594337841.85402,42.35837,uSimMarineV22
34594337842.08774,42.35837,uSimMarineV22
34594337842.338135,42.35837,uSimMarineV22
34594337842.589554,42.35837,uSimMarineV22
34594337842.841484,42.35837,uSimMarineV22
34594337843.09362,42.35837,uSimMarineV22
34594337843.3295,42.35837,uSimMarineV22
34594337843.58082,42.35837,uSimMarineV22
34594337843.82214,42.35837,uSimMarineV22
34594337844.06434,42.35837,uSimMarineV22
34594337844.315674,42.35837,uSimMarineV22
34594337844.551834,42.35837,uSimMarineV22
34594337844.799614,42.35837,uSimMarineV22
34594337844.799614,42.35837,uSimMarineV22
34594337845.01616,42.35837,uSimMarineV22
34594337845.26704,42.35837,uSimMarineV22
34594337845.50578,42.35837,uSimMarineV22
34594337845.74862,42.35837,uSimMarineV22
34594337845.99363,42.35837,uSimMarineV22
34594337845.99363,42.35837,uSimMarineV22
34594337846.24254,42.35837,uSimMarineV22
34594337846.47295,42.35836,uSimMarineV22
34594337846.71772,42.35836,uSimMarineV22
34594337846.966736,42.35836,uSimMarineV22
34594337847.1983,42.35836,uSimMarineV22
34594337847.44957,42.35836,uSimMarineV22
34594337847.68908,42.35836,uSimMarineV22
34594337847.94038,42.35836,uSimMarineV22
34594337848.17934,42.35836,uSimMarineV22
34594337848.43029,42.35836,uSimMarineV22
34594337848.67442,42.35836,uSimMarineV22
34594337848.90905,42.35836,uSimMarineV22
34594337849.14473,42.35836,uSimMarineV22
34594337849.39505,42.35836,uSimMarineV22
34594337849.64576,42.35836,uSimMarineV22
34594337849.89669,42.35836,uSimMarineV22
34594337850.14761,42.35835,uSimMarineV22
34594337850.39534,42.35835,uSimMarineV22
34594337850.646454,42.35835,uSimMarineV22
34594337850.874954,42.35835,uSimMarineV22
34594337851.10482,42.35835,uSimMarineV22
34594337851.35566,42.35835,uSimMarineV22
34594337851.602005,42.35835,uSimMarineV22
34594337851.831726,42.35835,uSimMarineV22
34594337852.08302,42.35834,uSimMarineV22
34594337852.33207,42.35834,uSimMarineV22
34594337852.58331,42.35834,uSimMarineV22
34594337852.8118,42.35834,uSimMarineV22
34594337853.052376,42.35834,uSimMarineV22
34594337853.284744,42.35834,uSimMarineV22
34594337853.5347,42.35834,uSimMarineV22
34594337853.78598,42.35833,uSimMarineV22
34594337854.0217,42.35833,uSimMarineV22
34594337854.25892,42.35833,uSimMarineV22
34594337854.482796,42.35833,uSimMarineV22
34594337854.73482,42.35833,uSimMarineV22
34594337855.033676,42.35833,uSimMarineV22
34594337855.28117,42.35833,uSimMarineV22
34594337855.53302,42.35832,uSimMarineV22
34594337855.76207,42.35832,uSimMarineV22
34594337855.99173,42.35832,uSimMarineV22
34594337856.2431,42.35832,uSimMarineV22
34594337856.47902,42.35832,uSimMarineV22
34594337856.72658,42.35832,uSimMarineV22
34594337856.97776,42.35831,uSimMarineV22
34594337857.22144,42.35831,uSimMarineV22
34594337857.45905,42.35831,uSimMarineV22
34594337857.69368,42.35831,uSimMarineV22
34594337857.94516,42.35831,uSimMarineV22
34594337858.189476,42.35831,uSimMarineV22
34594337858.440445,42.35831,uSimMarineV22
34594337858.691284,42.35830,uSimMarineV22
34594337858.94194,42.35830,uSimMarineV22
34594337859.18892,42.35830,uSimMarineV22
34594337859.4226,42.35830,uSimMarineV22
34594337859.673584,42.35830,uSimMarineV22
34594337859.91666,42.35830,uSimMarineV22
34594337860.16774,42.35830,uSimMarineV22
34594337860.397736,42.35830,uSimMarineV22
34594337860.64864,42.35829,uSimMarineV22
34594337860.899414,42.35829,uSimMarineV22
34594337861.13044,42.35829,uSimMarineV22
34594337861.381714,42.35829,uSimMarineV22
34594337861.63334,42.35829,uSimMarineV22
34594337861.87748,42.35829,uSimMarineV22
34594337862.12901,42.35829,uSimMarineV22
34594337862.379715,42.35829,uSimMarineV22
34594337862.63084,42.35829,uSimMarineV22
34594337862.85676,42.35829,uSimMarineV22
34594337863.10767,42.35828,uSimMarineV22
34594337863.34148,42.35828,uSimMarineV22
34594337863.59245,42.35828,uSimMarineV22
34594337863.83818,42.35828,uSimMarineV22
34594337864.08958,42.35828,uSimMarineV22
34594337864.31992,42.35828,uSimMarineV22
34594337864.571,42.35828,uSimMarineV22
34594337864.78908,42.35828,uSimMarineV22
34594337865.02047,42.35828,uSimMarineV22
34594337865.230576,42.35828,uSimMarineV22
34594337865.48202,42.35827,uSimMarineV22
34594337865.71011,42.35827,uSimMarineV22
34594337865.95952,42.35827,uSimMarineV22
34594337866.21132,42.35827,uSimMarineV22
34594337866.44064,42.35827,uSimMarineV22
34594337866.6913,42.35827,uSimMarineV22
