time,NAME,X,Y,SPD,HDG,TYPE,MODE,ALLSTOP,TIME,LENGTH,src
34594337767.06328,henry,0,-10,0,180,kayak,PARK,ManualOverride,34594337767.06,4,pNodeReporter
34594337767.06328,henry,0,-10,0,180,kayak,PARK,ManualOverride,34594337767.06,4,pNodeReporter
34594337767.06328,henry,0,-10,0,180,kayak,PARK,ManualOverride,34594337767.06,4,pNodeReporter
34594337770.19938,henry,0,-10,0,180,kayak,PARK,ManualOverride,1,34594337770.2,4,pNodeReporter
34594337773.41631,henry,0,-10,0,180,kayak,PARK,ManualOverride,2,34594337773.42,4,pNodeReporter
34594337776.6765,henry,0,-10,0,180,kayak,PARK,ManualOverride,3,34594337776.68,4,pNodeReporter
34594337779.90992,henry,0,-10,0,180,kayak,PARK,ManualOverride,4,34594337779.91,4,pNodeReporter
34594337782.91428,henry,0,-10,0,180,kayak,PARK,ManualOverride,5,34594337782.91,4,pNodeReporter
34594337786.22337,henry,0,-10,0,180,kayak,PARK,ManualOverride,6,34594337786.22,4,pNodeReporter
34594337789.409874,henry,0,-10,0,180,kayak,PARK,ManualOverride,7,34594337789.41,4,pNodeReporter
34594337792.43278,henry,0,-10,0,180,kayak,PARK,ManualOverride,8,34594337792.43,4,pNodeReporter
34594337795.65726,henry,0,-10,0,180,kayak,PARK,ManualOverride,9,34594337795.66,4,pNodeReporter
34594337798.7075,henry,0,-10,0,180,kayak,PARK,ManualOverride,10,34594337798.71,4,pNodeReporter
34594337801.79976,henry,0,-10,0,180,kayak,PARK,ManualOverride,11,34594337801.8,4,pNodeReporter
34594337804.84866,henry,0,-10,0,180,kayak,PARK,ManualOverride,12,34594337804.85,4,pNodeReporter
34594337807.86506,henry,0,-10,0,180,kayak,PARK,ManualOverride,13,34594337807.86,4,pNodeReporter
34594337810.88337,henry,0,-10,0,180,kayak,PARK,ManualOverride,14,34594337810.88,4,pNodeReporter
34594337814.1162,henry,0,-10,0,180,kayak,PARK,ManualOverride,15,34594337814.12,4,pNodeReporter
