time,data,src
34594337767.06338,mhash=241023-1654J-LITE-SOUP|ext=10,pNodeReporter
34594337767.06338,mhash=241023-1654J-LITE-SOUP|ext=10,pNodeReporter
34594337767.06338,mhash=241023-1654J-LITE-SOUP|ext=10,pNodeReporter
34594337864.72786,mhash=241023-1654J-LITE-SOUP|ext=11.5,pNodeReporter
34594337865.89872,mhash=241023-1654J-LITE-SOUP|ext=12.9,pNodeReporter
34594337866.8184,mhash=241023-1654J-LITE-SOUP|ext=14.1,pNodeReporter
34594337867.90046,mhash=241023-1654J-LITE-SOUP|ext=15.3,pNodeReporter
34594337868.805145,mhash=241023-1654J-LITE-SOUP|ext=16.5,pNodeReporter
34594337869.9123,mhash=241023-1654J-LITE-SOUP|ext=17.6,pNodeReporter
34594337870.78258,mhash=241023-1654J-LITE-SOUP|ext=18.8,pNodeReporter
34594337870.78258,mhash=241023-1654J-LITE-SOUP|ext=18.8,pNodeReporter
34594337951.81788,mhash=241023-1654J-LITE-SOUP|ext=20.3,pNodeReporter
34594337951.81788,mhash=241023-1654J-LITE-SOUP|ext=20.3,pNodeReporter
