time,data,src
34594337911.765884,0.96788,pHelmIvP:339:waypt_survey
34594337929.19907,0.97270,pHelmIvP:428:waypt_survey
34594337956.795334,0.96473,pHelmIvP:569:waypt_survey
34594337989.03014,0.96020,pHelmIvP:733:waypt_survey
34594337989.03014,0.96020,pHelmIvP:733:waypt_survey
34594338020.64188,0.95299,pHelmIvP:892:waypt_survey
34594338043.19764,0.94942,pHelmIvP:1006:waypt_survey
34594338060.444,0.95209,pHelmIvP:1094:waypt_survey
34594338087.87722,0.95220,pHelmIvP:1234:waypt_survey
34594338120.64581,0.95181,pHelmIvP:1401:waypt_survey
