time,data,src
34594337911.76595,0.96111,pHelmIvP:339:waypt_survey
34594337929.1991,0.96744,pHelmIvP:428:waypt_survey
34594337956.79541,0.96212,pHelmIvP:569:waypt_survey
34594337989.03025,0.96028,pHelmIvP:733:waypt_survey
34594337989.03025,0.96028,pHelmIvP:733:waypt_survey
34594338020.64196,0.95304,pHelmIvP:892:waypt_survey
34594338043.1977,0.94850,pHelmIvP:1006:waypt_survey
34594338060.44404,0.95107,pHelmIvP:1094:waypt_survey
34594338087.87726,0.95186,pHelmIvP:1234:waypt_survey
34594338120.645935,0.95118,pHelmIvP:1401:waypt_survey
