time,data,src
34594337911.7661,0.96111,pHelmIvP:339:waypt_survey
34594337929.199135,0.97551,pHelmIvP:428:waypt_survey
34594337956.795456,0.95448,pHelmIvP:569:waypt_survey
34594337989.03038,0.95643,pHelmIvP:733:waypt_survey
34594337989.03038,0.95643,pHelmIvP:733:waypt_survey
34594338020.64212,0.93024,pHelmIvP:892:waypt_survey
34594338043.1978,0.92214,pHelmIvP:1006:waypt_survey
34594338060.44408,0.97392,pHelmIvP:1094:waypt_survey
34594338087.87732,0.95680,pHelmIvP:1234:waypt_survey
34594338120.646065,0.94707,pHelmIvP:1401:waypt_survey
