time,data,src
34594337844.872696,0.00000,pHelmIvP:1:waypt_survey
34594337844.872696,0.00000,pHelmIvP:1:waypt_survey
34594337889.542496,1.00000,pHelmIvP:228:waypt_survey
34594337911.7663,2.00000,pHelmIvP:339:waypt_survey
34594337911.7663,2.00000,pHelmIvP:339:waypt_survey
34594337929.199265,3.00000,pHelmIvP:428:waypt_survey
34594337956.79568,4.00000,pHelmIvP:569:waypt_survey
34594337989.031,0.00000,pHelmIvP:733:waypt_survey
34594337989.031,0.00000,pHelmIvP:733:waypt_survey
34594338020.64243,1.00000,pHelmIvP:892:waypt_survey
34594338043.198,2.00000,pHelmIvP:1006:waypt_survey
34594338060.444176,3.00000,pHelmIvP:1094:waypt_survey
34594338087.87743,4.00000,pHelmIvP:1234:waypt_survey
34594338120.646484,0.00000,pHelmIvP:1401:waypt_survey
