time,data,src
34594337844.87266,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=inf,pHelmIvP:1:waypt_survey
34594337845.42426,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=1554,pHelmIvP:4:waypt_survey
34594337845.80678,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=1165,pHelmIvP:6:waypt_survey
34594337845.98999,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=666,pHelmIvP:7:waypt_survey
34594337845.98999,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=666,pHelmIvP:7:waypt_survey
34594337846.199196,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=518,pHelmIvP:8:waypt_survey
34594337846.605484,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=333,pHelmIvP:10:waypt_survey
34594337846.7906,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=274,pHelmIvP:11:waypt_survey
34594337847.36842,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=47|eta=245,pHelmIvP:14:waypt_survey
34594337847.57285,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=194,pHelmIvP:15:waypt_survey
34594337847.77936,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=178,pHelmIvP:16:waypt_survey
34594337848.123825,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=160,pHelmIvP:18:waypt_survey
34594337848.2911,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=149,pHelmIvP:19:waypt_survey
34594337848.68264,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=136,pHelmIvP:21:waypt_survey
34594337848.89126,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=128,pHelmIvP:22:waypt_survey
34594337849.08104,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=121,pHelmIvP:23:waypt_survey
34594337849.27599,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=112,pHelmIvP:24:waypt_survey
34594337849.483246,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=107,pHelmIvP:25:waypt_survey
34594337849.85616,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=102,pHelmIvP:27:waypt_survey
34594337850.02952,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=100,pHelmIvP:28:waypt_survey
34594337850.23513,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=93,pHelmIvP:29:waypt_survey
34594337850.64956,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=90,pHelmIvP:31:waypt_survey
34594337850.857254,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=89,pHelmIvP:32:waypt_survey
34594337851.0636,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=46|eta=86,pHelmIvP:33:waypt_survey
34594337851.26762,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=83,pHelmIvP:34:waypt_survey
34594337851.654655,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=80,pHelmIvP:36:waypt_survey
34594337851.862305,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=77,pHelmIvP:37:waypt_survey
34594337852.034424,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=74,pHelmIvP:38:waypt_survey
34594337852.239365,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=72,pHelmIvP:39:waypt_survey
34594337852.62392,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=69,pHelmIvP:41:waypt_survey
34594337852.817924,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=67,pHelmIvP:42:waypt_survey
34594337853.02689,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=64,pHelmIvP:43:waypt_survey
34594337853.20343,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=45|eta=63,pHelmIvP:44:waypt_survey
34594337853.5917,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=44|eta=61,pHelmIvP:46:waypt_survey
34594337853.798,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=44|eta=59,pHelmIvP:47:waypt_survey
34594337853.99619,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=44|eta=57,pHelmIvP:48:waypt_survey
34594337854.20139,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=44|eta=55,pHelmIvP:49:waypt_survey
34594337854.40361,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=44|eta=53,pHelmIvP:50:waypt_survey
34594337854.78482,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=50,pHelmIvP:52:waypt_survey
34594337855.186455,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=48,pHelmIvP:54:waypt_survey
34594337855.78587,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=47,pHelmIvP:57:waypt_survey
34594337855.95961,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=46,pHelmIvP:58:waypt_survey
34594337856.15495,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=45,pHelmIvP:59:waypt_survey
34594337856.36596,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=43,pHelmIvP:60:waypt_survey
34594337856.56116,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=42,pHelmIvP:61:waypt_survey
34594337856.92788,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=40,pHelmIvP:63:waypt_survey
34594337857.08884,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=41|eta=39,pHelmIvP:64:waypt_survey
34594337857.439415,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=41|eta=38,pHelmIvP:66:waypt_survey
34594337857.815445,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=41|eta=37,pHelmIvP:68:waypt_survey
34594337858.1991,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=40|eta=36,pHelmIvP:70:waypt_survey
34594337858.40356,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=40|eta=35,pHelmIvP:71:waypt_survey
34594337858.60994,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=40|eta=34,pHelmIvP:72:waypt_survey
34594337858.99232,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=39|eta=33,pHelmIvP:74:waypt_survey
34594337859.39492,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=39|eta=32,pHelmIvP:76:waypt_survey
34594337859.79982,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=38|eta=31,pHelmIvP:78:waypt_survey
