time,data,src
34594337756.56957,node=shoreside|app=all|duration=0.1|key=uMAC_370startup|thresh=any,uMAC_370
34594337756.56957,node=shoreside|app=all|duration=0.1|key=uMAC_370startup|thresh=any,uMAC_370
34594337756.56957,node=shoreside|app=all|duration=0.1|key=uMAC_370startup|thresh=any,uMAC_370
34594337756.56957,node=shoreside|app=all|duration=0.1|key=uMAC_370startup|thresh=any,uMAC_370
34594337756.56957,node=shoreside|app=all|duration=0.1|key=uMAC_370startup|thresh=any,uMAC_370
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337762.40632,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337802.29376,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337843.24578,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337843.24578,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337884.1909,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337925.096756,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594337965.8907,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594338006.86116,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594338047.91378,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594338088.75744,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
34594338129.5728,node=shoreside|app=pMarineViewer|duration=3.0|key=pMarineViewer:shoresideapp|thresh=any,pMarineViewer
