time,data,src
34594337766.016556,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=1,uFldShoreBroker
34594337767.05982,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=2,uFldShoreBroker
34594337767.05982,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=2,uFldShoreBroker
34594337768.16066,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=3,uFldShoreBroker
34594337768.16066,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=3,uFldShoreBroker
34594337769.232086,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=4,uFldShoreBroker
34594337769.232086,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=4,uFldShoreBroker
34594337770.32772,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=5,uFldShoreBroker
34594337771.42846,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=6,uFldShoreBroker
34594337772.52118,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=7,uFldShoreBroker
34594337772.52118,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=7,uFldShoreBroker
34594337773.5775,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=8,uFldShoreBroker
34594337773.5775,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=8,uFldShoreBroker
34594337774.6477,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=9,uFldShoreBroker
34594337774.6477,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=9,uFldShoreBroker
34594337775.6859,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=10,uFldShoreBroker
34594337782.05129,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=16,uFldShoreBroker
34594337783.12832,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=17,uFldShoreBroker
34594337784.18366,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=18,uFldShoreBroker
