time,data,src
34594337772.241905,1.19720,uFldDelve
34594337772.82634,1.16887,uFldDelve
34594337773.40944,1.16620,uFldDelve
34594337773.40944,1.16620,uFldDelve
34594337773.9542,1.08952,uFldDelve
34594337774.555336,1.20233,uFldDelve
34594337774.555336,1.20233,uFldDelve
34594337775.13558,1.16048,uFldDelve
34594337775.7173,1.16344,uFldDelve
34594337776.27286,1.11108,uFldDelve
34594337776.8199,1.09407,uFldDelve
34594337777.39928,1.15880,uFldDelve
34594337777.99942,1.20026,uFldDelve
34594337778.520096,1.04138,uFldDelve
34594337779.02336,1.00650,uFldDelve
34594337779.6182,1.18967,uFldDelve
34594337780.22038,1.20433,uFldDelve
34594337780.77822,1.11571,uFldDelve
34594337781.35196,1.14737,uFldDelve
34594337781.93258,1.16135,uFldDelve
34594337782.4988,1.13245,uFldDelve
34594337783.07674,1.15591,uFldDelve
34594337783.65252,1.15154,uFldDelve
34594337784.25364,1.20219,uFldDelve
34594337784.82072,1.13423,uFldDelve
34594337785.40906,1.17665,uFldDelve
34594337785.980995,1.14392,uFldDelve
34594337786.58316,1.20422,uFldDelve
34594337787.18344,1.20061,uFldDelve
34594337787.74298,1.11908,uFldDelve
34594337788.31546,1.14496,uFldDelve
34594337788.8571,1.08328,uFldDelve
34594337789.41076,1.10732,uFldDelve
34594337789.959625,1.09778,uFldDelve
34594337790.515076,1.11087,uFldDelve
34594337791.05084,1.07152,uFldDelve
34594337791.65282,1.20396,uFldDelve
34594337792.189926,1.07425,uFldDelve
34594337792.75286,1.12582,uFldDelve
34594337793.32706,1.14844,uFldDelve
34594337793.92934,1.20453,uFldDelve
34594337794.501816,1.14499,uFldDelve
34594337795.07944,1.15521,uFldDelve
34594337795.65768,1.15648,uFldDelve
34594337796.25114,1.18695,uFldDelve
34594337796.89972,1.29713,uFldDelve
34594337797.49312,1.18680,uFldDelve
34594337798.120316,1.25435,uFldDelve
34594337798.69832,1.15605,uFldDelve
34594337799.24704,1.09744,uFldDelve
34594337799.848656,1.20319,uFldDelve
34594337800.37664,1.05597,uFldDelve
34594337800.94658,1.13992,uFldDelve
34594337801.50104,1.10895,uFldDelve
34594337802.04347,1.08481,uFldDelve
34594337802.58638,1.08583,uFldDelve
34594337803.18348,1.19420,uFldDelve
34594337803.738075,1.10921,uFldDelve
34594337804.52278,1.56908,uFldDelve
34594337805.04682,1.04836,uFldDelve
34594337805.63024,1.16693,uFldDelve
34594337806.1593,1.05807,uFldDelve
34594337806.76016,1.20168,uFldDelve
34594337807.340225,1.16013,uFldDelve
34594337807.94234,1.20428,uFldDelve
34594337808.46472,1.04480,uFldDelve
34594337809.0471,1.16472,uFldDelve
34594337809.64338,1.19260,uFldDelve
34594337810.2302,1.17360,uFldDelve
34594337810.74478,1.02911,uFldDelve
34594337811.31492,1.14034,uFldDelve
34594337811.91593,1.20195,uFldDelve
34594337812.4955,1.15921,uFldDelve
34594337813.08796,1.18488,uFldDelve
34594337813.68576,1.19560,uFldDelve
34594337814.25232,1.13280,uFldDelve
34594337814.83998,1.17564,uFldDelve
