time,data,src
34594337772.24212,0.00043,uFldDelve
34594337772.8265,0.00032,uFldDelve
34594337773.4095,0.00017,uFldDelve
34594337773.4095,0.00017,uFldDelve
34594337773.9543,0.00024,uFldDelve
34594337774.55546,0.00023,uFldDelve
34594337774.55546,0.00023,uFldDelve
34594337775.13572,0.00027,uFldDelve
34594337775.71738,0.00015,uFldDelve
34594337776.27318,0.00064,uFldDelve
34594337776.82004,0.00032,uFldDelve
34594337777.39946,0.00037,uFldDelve
34594337777.99951,0.00015,uFldDelve
34594337778.52028,0.00037,uFldDelve
34594337779.02366,0.00063,uFldDelve
34594337779.61836,0.00032,uFldDelve
34594337780.22046,0.00023,uFldDelve
34594337780.77844,0.00049,uFldDelve
34594337781.35214,0.00047,uFldDelve
34594337781.93274,0.00037,uFldDelve
34594337782.4989,0.00020,uFldDelve
34594337783.07696,0.00044,uFldDelve
34594337783.6527,0.00040,uFldDelve
34594337784.25384,0.00047,uFldDelve
34594337784.8208,0.00017,uFldDelve
34594337785.4092,0.00031,uFldDelve
34594337785.98138,0.00075,uFldDelve
34594337786.58336,0.00049,uFldDelve
34594337787.183556,0.00029,uFldDelve
34594337787.74316,0.00040,uFldDelve
34594337788.31586,0.00084,uFldDelve
34594337788.85724,0.00032,uFldDelve
34594337789.410835,0.00021,uFldDelve
34594337789.95973,0.00020,uFldDelve
34594337790.51528,0.00044,uFldDelve
34594337791.05098,0.00032,uFldDelve
34594337791.65288,0.00015,uFldDelve
34594337792.19,0.00015,uFldDelve
34594337792.75304,0.00037,uFldDelve
34594337793.32724,0.00034,uFldDelve
34594337793.929436,0.00023,uFldDelve
34594337794.501976,0.00034,uFldDelve
34594337795.079636,0.00044,uFldDelve
34594337795.65792,0.00052,uFldDelve
34594337796.251205,0.00014,uFldDelve
34594337796.899956,0.00050,uFldDelve
34594337797.49328,0.00035,uFldDelve
34594337798.12068,0.00076,uFldDelve
34594337798.69844,0.00027,uFldDelve
34594337799.2473,0.00055,uFldDelve
34594337799.84888,0.00052,uFldDelve
34594337800.37692,0.00060,uFldDelve
34594337800.9467,0.00023,uFldDelve
34594337801.50128,0.00049,uFldDelve
34594337802.043655,0.00044,uFldDelve
34594337802.58658,0.00041,uFldDelve
34594337803.18363,0.00034,uFldDelve
34594337803.73847,0.00076,uFldDelve
34594337804.52564,0.00607,uFldDelve
34594337805.04708,0.00061,uFldDelve
34594337805.63034,0.00020,uFldDelve
34594337806.15966,0.00076,uFldDelve
34594337806.76058,0.00092,uFldDelve
34594337807.34062,0.00089,uFldDelve
34594337807.94244,0.00023,uFldDelve
34594337808.464836,0.00020,uFldDelve
34594337809.047356,0.00056,uFldDelve
34594337809.6437,0.00064,uFldDelve
34594337810.23034,0.00032,uFldDelve
34594337810.7454,0.00130,uFldDelve
34594337811.3151,0.00038,uFldDelve
34594337811.9162,0.00061,uFldDelve
34594337812.4957,0.00040,uFldDelve
34594337813.08832,0.00079,uFldDelve
34594337813.68627,0.00104,uFldDelve
34594337814.25252,0.00076,uFldDelve
34594337814.84028,0.00067,uFldDelve
34594337815.4163,0.00072,uFldDelve
34594337816.0094,0.00089,uFldDelve
34594337816.5828,0.00041,uFldDelve
34594337817.11822,0.00029,uFldDelve
34594337817.704315,0.00037,uFldDelve
34594337818.25308,0.00032,uFldDelve
34594337818.8039,0.00037,uFldDelve
34594337819.32088,0.00020,uFldDelve
34594337819.92148,0.00024,uFldDelve
34594337820.42488,0.00061,uFldDelve
34594337821.02582,0.00023,uFldDelve
34594337821.577415,0.00017,uFldDelve
34594337822.17716,0.00024,uFldDelve
34594337822.742516,0.00024,uFldDelve
34594337823.31476,0.00035,uFldDelve
34594337823.91636,0.00011,uFldDelve
34594337824.49286,0.00037,uFldDelve
34594337825.046616,0.00056,uFldDelve
34594337825.61082,0.00163,uFldDelve
34594337826.212,0.00015,uFldDelve
34594337826.80398,0.00168,uFldDelve
34594337827.361336,0.00027,uFldDelve
34594337827.92032,0.00128,uFldDelve
34594337828.52239,0.00020,uFldDelve
34594337829.071945,0.00085,uFldDelve
34594337829.62816,0.00108,uFldDelve
34594337830.195526,0.00043,uFldDelve
34594337830.74454,0.00015,uFldDelve
34594337831.277916,0.00032,uFldDelve
34594337831.8051,0.00133,uFldDelve
34594337832.391556,0.00035,uFldDelve
34594337832.92228,0.00008,uFldDelve
34594337833.5161,0.00024,uFldDelve
34594337834.11734,0.00044,uFldDelve
34594337834.64888,0.00040,uFldDelve
