time,data,src
34594337768.58374,1.02200,uFldNodeComms
34594337769.15924,1.15100,uFldNodeComms
34594337769.76066,1.20287,uFldNodeComms
34594337769.76066,1.20287,uFldNodeComms
34594337770.31372,1.10609,uFldNodeComms
34594337770.91504,1.20264,uFldNodeComms
34594337771.49242,1.15475,uFldNodeComms
34594337772.08976,1.19467,uFldNodeComms
34594337772.08976,1.19467,uFldNodeComms
34594337772.650536,1.12157,uFldNodeComms
34594337773.2387,1.17636,uFldNodeComms
34594337773.2387,1.17636,uFldNodeComms
34594337773.82624,1.17500,uFldNodeComms
34594337774.403915,1.15540,uFldNodeComms
34594337774.403915,1.15540,uFldNodeComms
34594337774.98166,1.15549,uFldNodeComms
34594337775.57524,1.18710,uFldNodeComms
34594337776.16806,1.18570,uFldNodeComms
34594337776.67914,1.02216,uFldNodeComms
34594337777.26924,1.18019,uFldNodeComms
34594337777.84566,1.15288,uFldNodeComms
34594337778.426895,1.16249,uFldNodeComms
34594337779.02754,1.20119,uFldNodeComms
34594337779.57392,1.09280,uFldNodeComms
34594337780.10996,1.07201,uFldNodeComms
34594337780.6602,1.10056,uFldNodeComms
34594337781.24484,1.16920,uFldNodeComms
34594337781.80698,1.12436,uFldNodeComms
34594337782.3495,1.08504,uFldNodeComms
34594337782.91558,1.13213,uFldNodeComms
34594337783.45132,1.07155,uFldNodeComms
34594337784.00866,1.11469,uFldNodeComms
34594337784.51016,1.00293,uFldNodeComms
34594337785.11146,1.20264,uFldNodeComms
34594337785.6257,1.02835,uFldNodeComms
34594337786.212,1.17273,uFldNodeComms
34594337786.7857,1.14735,uFldNodeComms
34594337787.31376,1.05615,uFldNodeComms
34594337787.83721,1.04689,uFldNodeComms
34594337788.43778,1.20116,uFldNodeComms
34594337788.96978,1.06392,uFldNodeComms
34594337789.50778,1.07608,uFldNodeComms
34594337790.087456,1.15936,uFldNodeComms
34594337790.681076,1.18719,uFldNodeComms
34594337791.25582,1.14952,uFldNodeComms
34594337791.85222,1.19279,uFldNodeComms
34594337792.43174,1.15906,uFldNodeComms
34594337793.0115,1.15947,uFldNodeComms
34594337793.60388,1.18480,uFldNodeComms
34594337794.17718,1.14661,uFldNodeComms
34594337794.75484,1.15532,uFldNodeComms
34594337795.34742,1.18520,uFldNodeComms
34594337795.91028,1.12567,uFldNodeComms
34594337796.50216,1.18381,uFldNodeComms
34594337797.09462,1.18488,uFldNodeComms
34594337797.6698,1.15033,uFldNodeComms
34594337798.2699,1.20024,uFldNodeComms
34594337798.84806,1.15631,uFldNodeComms
34594337799.41138,1.12665,uFldNodeComms
34594337799.96682,1.11087,uFldNodeComms
34594337800.51478,1.09579,uFldNodeComms
34594337801.11144,1.19345,uFldNodeComms
34594337801.67518,1.12744,uFldNodeComms
34594337802.21068,1.07100,uFldNodeComms
34594337802.81278,1.20424,uFldNodeComms
34594337803.4319,1.23824,uFldNodeComms
34594337803.93908,1.01428,uFldNodeComms
34594337804.57662,1.27512,uFldNodeComms
34594337805.17832,1.20341,uFldNodeComms
34594337805.75582,1.15503,uFldNodeComms
34594337806.30174,1.09172,uFldNodeComms
34594337806.90236,1.20128,uFldNodeComms
34594337807.48979,1.17493,uFldNodeComms
34594337808.028336,1.07712,uFldNodeComms
34594337808.54688,1.03708,uFldNodeComms
34594337809.14694,1.20012,uFldNodeComms
34594337809.71904,1.14420,uFldNodeComms
34594337810.23992,1.04176,uFldNodeComms
34594337810.8396,1.19931,uFldNodeComms
34594337811.38678,1.09445,uFldNodeComms
34594337811.91712,1.06064,uFldNodeComms
34594337812.47167,1.10907,uFldNodeComms
34594337813.04902,1.15474,uFldNodeComms
34594337813.64338,1.18867,uFldNodeComms
34594337814.20072,1.11476,uFldNodeComms
34594337814.78852,1.17555,uFldNodeComms
34594337815.37628,1.17552,uFldNodeComms
34594337815.96311,1.17360,uFldNodeComms
34594337816.56032,1.19444,uFldNodeComms
34594337817.07768,1.03476,uFldNodeComms
34594337817.63978,1.12421,uFldNodeComms
34594337818.202415,1.12527,uFldNodeComms
34594337818.74555,1.08623,uFldNodeComms
34594337819.321,1.15089,uFldNodeComms
34594337819.89956,1.15712,uFldNodeComms
34594337820.424255,1.04939,uFldNodeComms
34594337820.9505,1.05252,uFldNodeComms
34594337821.4814,1.06184,uFldNodeComms
34594337822.0287,1.09456,uFldNodeComms
34594337822.6228,1.18817,uFldNodeComms
34594337823.18524,1.12491,uFldNodeComms
34594337823.78408,1.19768,uFldNodeComms
34594337824.33828,1.10837,uFldNodeComms
34594337824.896736,1.11700,uFldNodeComms
34594337825.44778,1.10204,uFldNodeComms
34594337826.0097,1.12387,uFldNodeComms
34594337826.55266,1.08585,uFldNodeComms
34594337827.07934,1.05336,uFldNodeComms
