time,data,src
34594337766.96478,0.00005,uFldNodeComms
34594337767.570335,0.00479,uFldNodeComms
34594337768.07284,0.00023,uFldNodeComms
34594337768.58383,0.00020,uFldNodeComms
34594337768.58383,0.00020,uFldNodeComms
34594337769.15964,0.00082,uFldNodeComms
34594337769.760796,0.00029,uFldNodeComms
34594337769.760796,0.00029,uFldNodeComms
34594337770.31404,0.00067,uFldNodeComms
34594337770.91552,0.00095,uFldNodeComms
34594337771.4925,0.00020,uFldNodeComms
34594337772.089935,0.00040,uFldNodeComms
34594337772.089935,0.00040,uFldNodeComms
34594337772.650665,0.00029,uFldNodeComms
34594337773.238815,0.00024,uFldNodeComms
34594337773.238815,0.00024,uFldNodeComms
34594337773.82636,0.00032,uFldNodeComms
34594337774.404396,0.00101,uFldNodeComms
34594337774.404396,0.00101,uFldNodeComms
34594337774.981895,0.00052,uFldNodeComms
34594337775.57538,0.00037,uFldNodeComms
34594337776.16816,0.00020,uFldNodeComms
34594337776.67934,0.00043,uFldNodeComms
34594337777.26946,0.00047,uFldNodeComms
34594337777.8461,0.00089,uFldNodeComms
34594337778.426956,0.00012,uFldNodeComms
34594337779.0278,0.00061,uFldNodeComms
34594337779.57418,0.00056,uFldNodeComms
34594337780.11034,0.00087,uFldNodeComms
34594337780.66064,0.00089,uFldNodeComms
34594337781.24524,0.00092,uFldNodeComms
34594337781.80712,0.00027,uFldNodeComms
34594337782.34974,0.00052,uFldNodeComms
34594337782.915695,0.00032,uFldNodeComms
34594337783.4518,0.00096,uFldNodeComms
34594337784.00888,0.00044,uFldNodeComms
34594337784.510475,0.00072,uFldNodeComms
34594337785.11154,0.00020,uFldNodeComms
34594337785.62599,0.00073,uFldNodeComms
34594337786.212296,0.00060,uFldNodeComms
34594337786.786575,0.00185,uFldNodeComms
34594337787.31392,0.00037,uFldNodeComms
34594337787.8374,0.00044,uFldNodeComms
34594337788.43804,0.00056,uFldNodeComms
34594337788.97014,0.00084,uFldNodeComms
34594337789.50788,0.00024,uFldNodeComms
34594337790.08792,0.00096,uFldNodeComms
34594337790.68126,0.00044,uFldNodeComms
34594337791.255936,0.00029,uFldNodeComms
34594337791.852356,0.00032,uFldNodeComms
34594337792.43194,0.00040,uFldNodeComms
34594337793.01178,0.00061,uFldNodeComms
34594337793.60454,0.00133,uFldNodeComms
34594337794.17726,0.00015,uFldNodeComms
34594337794.75501,0.00037,uFldNodeComms
34594337795.34758,0.00029,uFldNodeComms
34594337795.91054,0.00056,uFldNodeComms
34594337796.50247,0.00061,uFldNodeComms
34594337797.094795,0.00037,uFldNodeComms
34594337797.67018,0.00084,uFldNodeComms
34594337798.27018,0.00060,uFldNodeComms
34594337798.848236,0.00040,uFldNodeComms
34594337799.41222,0.00172,uFldNodeComms
34594337799.96706,0.00049,uFldNodeComms
34594337800.51515,0.00090,uFldNodeComms
34594337801.11152,0.00020,uFldNodeComms
34594337801.67546,0.00064,uFldNodeComms
34594337802.21106,0.00081,uFldNodeComms
34594337802.81362,0.00172,uFldNodeComms
34594337803.432396,0.00081,uFldNodeComms
34594337803.93968,0.00072,uFldNodeComms
34594337804.57724,0.00133,uFldNodeComms
34594337805.17919,0.00175,uFldNodeComms
34594337805.75592,0.00024,uFldNodeComms
34594337806.30746,0.01157,uFldNodeComms
34594337806.903,0.00140,uFldNodeComms
34594337807.49012,0.00067,uFldNodeComms
34594337808.02842,0.00020,uFldNodeComms
34594337808.54748,0.00124,uFldNodeComms
34594337809.147156,0.00047,uFldNodeComms
34594337809.71929,0.00053,uFldNodeComms
34594337810.240036,0.00027,uFldNodeComms
34594337810.84012,0.00110,uFldNodeComms
34594337811.387,0.00040,uFldNodeComms
34594337811.93196,0.02972,uFldNodeComms
34594337812.47178,0.00029,uFldNodeComms
34594337813.04933,0.00060,uFldNodeComms
34594337813.6437,0.00072,uFldNodeComms
34594337814.20154,0.00160,uFldNodeComms
34594337814.78868,0.00037,uFldNodeComms
34594337815.37652,0.00052,uFldNodeComms
34594337815.96348,0.00084,uFldNodeComms
34594337816.5609,0.00124,uFldNodeComms
34594337817.07794,0.00056,uFldNodeComms
34594337817.640076,0.00060,uFldNodeComms
34594337818.20286,0.00092,uFldNodeComms
34594337818.7458,0.00056,uFldNodeComms
34594337819.3212,0.00044,uFldNodeComms
34594337819.899796,0.00056,uFldNodeComms
34594337820.42454,0.00064,uFldNodeComms
34594337820.95064,0.00032,uFldNodeComms
34594337821.48172,0.00064,uFldNodeComms
34594337822.02886,0.00037,uFldNodeComms
34594337822.622955,0.00040,uFldNodeComms
34594337823.1854,0.00037,uFldNodeComms
34594337823.78444,0.00072,uFldNodeComms
34594337824.3385,0.00052,uFldNodeComms
34594337824.897156,0.00084,uFldNodeComms
34594337825.44812,0.00072,uFldNodeComms
34594337826.00978,0.00017,uFldNodeComms
34594337826.553,0.00076,uFldNodeComms
34594337827.07961,0.00056,uFldNodeComms
34594337827.61596,0.00124,uFldNodeComms
34594337828.196075,0.00032,uFldNodeComms
34594337828.77212,0.00063,uFldNodeComms
34594337829.32304,0.00067,uFldNodeComms
34594337829.91948,0.00069,uFldNodeComms
34594337830.4935,0.00049,uFldNodeComms
34594337831.07738,0.00214,uFldNodeComms
34594337831.67758,0.00096,uFldNodeComms
34594337832.22974,0.00104,uFldNodeComms
34594337832.79384,0.00032,uFldNodeComms
34594337833.33696,0.00037,uFldNodeComms
34594337833.88496,0.00040,uFldNodeComms
34594337834.44724,0.00113,uFldNodeComms
34594337835.0073,0.00020,uFldNodeComms
34594337835.55622,0.00060,uFldNodeComms
34594337836.1575,0.00119,uFldNodeComms
34594337836.67386,0.00107,uFldNodeComms
